location_id,median_pickup_time
1,10
2,7
3,17
4,16
5,6
6,9
7,20
8,18
9,19
10,12
11,9
12,9
13,10
14,10
15,12
16,8
17,18
18,23
19,11
20,26
21,22
22,16
23,9
24,15
25,17
26,16
27,11
28,14
29,9
30,14
31,23
32,18
33,9
34,26
35,14
36,14
37,19
38,22
39,22
40,13
41,16
42,19
43,31
44,29
45,33
46,33
47,18
48,19
49,11
50,30
51,11
52,19
53,39
54,29
55,44
56,52
57,18
58,30
59,24
60,25
61,30
62,36
63,15
64,23
65,21
66,14
67,18
68,29
69,19
70,22
71,15
72,20
73,24
74,16
75,19
76,14
77,15
78,26
79,11
80,16
81,31
82,29
83,19
84,15
85,32
