location_id,median_pickup_time
1,18
2,21
3,21
4,23
5,31
6,17
7,36
8,18
9,20
10,21
11,23
12,21
13,26
14,26
15,32
16,18
17,26
18,29
19,34
20,39
21,17
22,21
23,26
24,18
25,21
26,23
27,17
28,38
29,16
30,24
31,20
32,24
33,17
34,31
35,28
36,20
37,18
38,21
39,19
40,21
41,30
42,18
43,19
44,27
45,42
46,33
47,31
48,37
49,17
50,27
51,15
52,29
53,30
54,59
55,58
56,33
57,17
58,36
59,20
60,35
61,24
62,40
63,40
64,34
65,21
66,24
67,39
68,32
69,22
70,19
71,29
72,22
73,28
74,39
75,20
76,17
77,42
78,30
79,31
80,20
81,18
82,22
83,23
84,37
85,37
